x;y
350;2.92
351;-1.42
352;-0.63
353;-0.54
354;-0.33
355;-0.05
356;0.95
357;-1.49
358;0.07
359;2.36
360;1.5
361;-1.64
362;-2.64
363;7.65
364;2.25
365;-1.13
366;0.58
367;2.47
368;-0.38
369;2.41
370;2.91
371;4.03
372;1.93
373;0.37
374;9.39
375;0.28
376;-0.72
377;-1.36
378;-1.07
379;-0.62
380;-1.15
381;0.75
382;-2.58
383;-1.7
384;0.94
385;-1.53
386;0.1
387;0.34
388;-2.24
389;3.02
390;-1.75
391;-3.51
392;-2.79
393;1.39
394;0.23
395;2.48
396;-2.15
397;1.45
398;2.49
399;1.97
400;-1.3
401;1.95
402;-0.56
403;-2.37
404;-0.76
405;-0.61
406;0.11
407;-2.39
408;1.43
409;-3.56
410;-2.58
411;1.35
412;1.1
413;4.8
414;-0.25
415;1.52
416;0.31
417;0.69
418;-1.5
419;-0.52
420;2.48
421;-0.34
422;2.27
423;1.43
424;2.44
425;0.41
426;-2.79
427;0.14
428;-0.98
429;-1.5
430;-2.44
431;1.55
432;1.35
433;2.5
434;0.79
435;1.53
436;0.32
437;3.31
438;1.26
439;2.4
440;0.25
441;1.71
442;3.81
443;1.34
444;2.96
445;-3.87
446;0.15
447;1.42
448;1.99
449;0.57
450;-2.47
451;2.48
452;0.75
453;0.27
454;3.28
455;-1.48
456;0.11
457;1.39
458;-1.58
459;-1.41
460;2.66
461;-3.5
462;-2.58
463;1.79
464;1.27
465;-1.5
466;0.38
467;0.53
468;0
469;1.28
470;-1.58
471;-0.74
472;4.79
473;2.61
474;-1.66
475;1.81
476;-0.86
477;7.12
478;1.43
479;0.8
480;1.33
481;2.06
482;0.39
483;-2.01
484;1.59
485;0.84
486;-0.49
487;0.97
488;0.63
489;2.3
490;2.06
491;1.84
492;0.6
493;1.75
494;0.17
495;-4.54
496;-1.1
497;2.3
498;0.65
499;2.37
500;1.1
501;2.25
502;1.73
503;-0.49
504;0.66
505;3.93
506;2.37
507;-0.16
508;3.41
509;-2.92
510;-2.62
511;-0.19
512;-2.46
513;-4.54
514;-2.1
515;-3
516;-0.06
517;1.29
518;0.1
519;3.03
520;1.34
521;0.51
522;-1.55
523;1.55
524;1.84
525;0.5
526;1.44
527;-1.55
528;0.83
529;-0.44
530;4.61
531;1.67
532;-2.63
533;-0.53
534;1.07
535;1.36
536;2.07
537;-0.59
538;0.37
539;0.81
540;-3.31
541;0.04
542;3.48
543;0.87
544;2.02
545;1.41
546;0.92
547;2.48
548;3.5
549;0.92
550;-0.98
551;1.56
552;1.39
553;1.43
554;0.16
555;-0.43
556;0.7
557;-0.43
558;0.34
559;1.54
560;-0.37
561;-0.59
562;1.26
563;2.88
564;0.47
565;1.24
566;-0.13
567;2.94
568;4.17
569;0.62
570;6.19
571;1.52
572;2.38
573;3.2
574;5.29
575;6.16
576;5.61
577;7.38
578;7.64
579;8.59
580;9.72
581;8.94
582;12.6
583;15.56
584;15.69
585;18.29
586;18.67
587;19.3
588;21.99
589;17.7
590;20.39
591;19.32
592;16.83
593;11.86
594;13.65
595;10.32
596;4.34
597;8.33
598;6.67
599;3.6
600;5.07
601;6.84
602;5.69
603;8.67
604;2.56
605;4.54
606;-0.62
607;3.32
608;-0.23
609;1.17
610;4.02
611;6.29
612;2.29
613;1.35
614;3.94
615;-2.36
616;3.5
617;3.16
618;-0.6
619;-1.11
620;1.65
621;-0.49
622;-0.61
623;0.23
624;-1.39
625;2.26
626;3.85
627;0.72
628;1.94
629;5.58
630;-0.46
631;-0.51
632;1.94
633;1.25
634;-0.87
635;-2.56
636;0.94
637;3.08
638;-0.81
639;-0.66
640;1.23
641;5.43
642;6.34
643;-1.99
644;0.24
645;1.99
646;0.03
647;1.21
648;-0.86
649;6.2
650;-1.97
651;0.97
652;2.22
653;2.42
654;0.38
655;0.74
656;0.63
657;1.02
658;-0.49
659;-1.91
660;-0.22
661;1.41
662;0.19
663;5.62
664;-1.55
665;1.09
666;2.1
667;3.22
668;0.43
669;0.34
670;1.27
671;5.37
