x;y
350;-2.54
351;-0.11
352;1.15
353;1.51
354;-0.01
355;0.4
356;2.02
357;-1.1
358;1.31
359;0.68
360;-0.95
361;0.13
362;0.37
363;7.86
364;1.01
365;0.52
366;-0.12
367;0.61
368;4.23
369;0.56
370;3.06
371;0.19
372;0.58
373;4.46
374;10.29
375;1.41
376;0.87
377;2.88
378;4.68
379;1.63
380;-0.44
381;3.16
382;-3.17
383;2.28
384;4.66
385;2.77
386;-1.63
387;-2.48
388;0.14
389;-1.11
390;2.53
391;1.74
392;1.1
393;-0.05
394;-0.69
395;-1.12
396;-0.02
397;-0.94
398;1.86
399;3.14
400;-1
401;-2.74
402;1
403;2.97
404;1.2
405;-1.09
406;0.35
407;1.65
408;2.82
409;-0.49
410;-2.37
411;-3.89
412;1.05
413;-2.17
414;-0.77
415;-0.21
416;-0.46
417;1.02
418;-0.21
419;0.43
420;1.17
421;0.09
422;0.54
423;-0.3
424;6.52
425;1.93
426;2.15
427;0.29
428;1.4
429;4.16
430;2.57
431;-1.48
432;0.93
433;-1.68
434;0.2
435;0.79
436;-0.29
437;0.74
438;3.12
439;1.63
440;0.08
441;-1.35
442;1.04
443;1.71
444;1.31
445;2.16
446;2.53
447;0.85
448;2
449;0.84
450;1.98
451;1.72
452;-1.23
453;2.97
454;2.45
455;-1.04
456;0.14
457;-2.23
458;0.92
459;-0.56
460;-0.17
461;0.9
462;1.85
463;-0.07
464;4.61
465;0.83
466;1.78
467;-0.82
468;0.46
469;4.13
470;-1.1
471;1.98
472;3.71
473;1.03
474;-1.23
475;1.37
476;2.14
477;2.06
478;3.83
479;0.4
480;-0.69
481;0.74
482;0.84
483;2.61
484;-0.73
485;3.3
486;1.74
487;1.5
488;3.35
489;2.61
490;-0.26
491;2.25
492;2.77
493;-1.24
494;0.07
495;-2.16
496;2.6
497;0.29
498;0.19
499;0.9
500;4.21
501;1.26
502;2.45
503;-1.36
504;-0.72
505;2.75
506;-3.08
507;2.62
508;3.85
509;-3.02
510;-0.08
511;3.31
512;-2.12
513;0.66
514;1.58
515;3.79
516;1.24
517;0.87
518;2.79
519;1.34
520;0.73
521;3.38
522;0.85
523;-1
524;2.63
525;-0.85
526;-2.41
527;-1.18
528;-1.11
529;0.1
530;3.85
531;8.6
532;1.85
533;-0.25
534;3.73
535;0.43
536;-2.26
537;0.83
538;2.11
539;1.76
540;4.41
541;1.37
542;3.87
543;0.66
544;3.26
545;0.76
546;-1.4
547;2.75
548;1.03
549;0.52
550;2.86
551;1.67
552;1.54
553;-3.16
554;-0.15
555;1.77
556;2.75
557;4.55
558;1.21
559;2.96
560;0.16
561;0.76
562;2.56
563;2.8
564;1.61
565;-2.03
566;-1
567;-4.14
568;0.49
569;-0.31
570;-1.11
571;-0.05
572;0.36
573;0.12
574;-0.22
575;2.3
576;0.01
577;0.86
578;-1.25
579;0.51
580;2.3
581;4.31
582;2.83
583;-0.18
584;2.07
585;1.97
586;3.48
587;2.82
588;4.93
589;5.19
590;5.82
591;5.81
592;3.27
593;4.04
594;6.98
595;6.39
596;5.85
597;7.8
598;6.07
599;8.98
600;10.24
601;10.83
602;12.29
603;15.92
604;19.12
605;25.76
606;22.72
607;27.26
608;31.66
609;31.88
610;46.83
611;45.75
612;52.26
613;55.81
614;62.84
615;60.32
616;76.46
617;82.37
618;99.58
619;104.28
620;123.7
621;133.31
622;150.82
623;154.95
624;175.7
625;183.47
626;201.1
627;226.6
628;236.63
629;244.93
