x;y
350;0.6
351;-0.66
352;-0.38
353;2.06
354;-1.62
355;2.9
356;5
357;0.36
358;-0.37
359;0.95
360;1
361;-0.42
362;-1.04
363;5.39
364;2.53
365;2.78
366;0.36
367;-2.64
368;0.24
369;0.26
370;-0.72
371;-1.58
372;-1.86
373;-0.27
374;7.05
375;0.34
376;-1.8
377;2.24
378;2.75
379;-0.73
380;0.89
381;-2.1
382;-0.67
383;1.06
384;1.47
385;1.36
386;-1.39
387;-1.7
388;-0.58
389;0.29
390;-4.15
391;1.11
392;2.16
393;-2.28
394;0.63
395;-2.87
396;-1
397;0
398;-1.64
399;-0.59
400;-1.88
401;2.1
402;-1.58
403;0.28
404;-4.32
405;-0.72
406;0.23
407;-1.79
408;0.27
409;0.34
410;-1.19
411;-0.76
412;1
413;0.24
414;0.4
415;-1.53
416;-1.97
417;0.72
418;-0.57
419;-2.43
420;-0.87
421;2.78
422;-2.48
423;0.33
424;4.06
425;1.35
426;-1.05
427;-1.29
428;-0.84
429;-1.5
430;-2.54
431;0.44
432;1.58
433;2.82
434;-1.36
435;-1.14
436;0.25
437;-1.4
438;2.88
439;-0.78
440;1.81
441;-3.22
442;3.07
443;-0.65
444;-0.57
445;1.81
446;-2.08
447;0.35
448;-2.28
449;2.73
450;1.58
451;-0.67
452;-1.87
453;-2.26
454;0.47
455;-1.33
456;0.12
457;1.25
458;1.22
459;0.88
460;1.76
461;-1.48
462;3.32
463;2.15
464;-0.31
465;3.01
466;0.25
467;-1.48
468;5.02
469;1.32
470;0.32
471;2.67
472;-1.23
473;1.22
474;4.25
475;3.79
476;4.1
477;6.03
478;4.31
479;1.94
480;3.74
481;7.92
482;8.33
483;6.94
484;5.5
485;7.32
486;15.22
487;13.63
488;16.39
489;21.85
490;17.32
491;21.32
492;28.33
493;30.08
494;29.34
495;38.3
496;44.95
497;47.96
498;56.87
499;56.42
500;79.86
501;83.27
502;89.67
503;104.22
504;119.65
505;145.48
506;149.5
507;173.82
508;193.41
509;212.05
510;244.56
511;270.33
512;292.36
513;326.4
514;357.3
515;387.83
516;427.7
517;468.25
518;503.87
519;529.93
520;540.57
521;584.35
522;600.43
523;621.91
524;629.22
525;643.67
526;632.18
527;633.13
528;636.84
529;624.17
530;616.12
531;582.61
532;569.39
533;551.23
534;524.32
535;498.62
536;484.87
537;453.31
538;437.68
539;422.73
540;397.19
541;383.38
542;364.49
543;341.1
544;329.53
545;303.94
546;289.67
547;270.99
548;262.8
549;244.99
550;229.62
551;217.48
552;190.17
553;184.31
554;172.32
555;155.14
556;148.22
557;140.33
558;132.04
559;118.96
560;109.65
561;109.34
562;97.55
563;92.3
564;83.96
565;71.27
566;67.78
567;65.43
568;60.06
569;51.26
570;49.24
571;46.58
572;41.43
573;44.07
574;33.41
575;36.07
576;33.58
577;31.09
578;23.66
579;26.32
580;25.69
581;24.67
582;17.96
583;15.25
584;16.81
585;13.1
586;20.98
587;13.63
588;11.74
589;12.42
590;14.27
591;7.56
592;9.8
593;9.61
594;8.82
595;9.94
596;8.17
597;7.31
598;5.1
599;5.02
600;8.46
601;4.87
602;4.37
603;3.52
604;1.36
605;6.34
606;7.48
607;5.44
608;1.62
609;3.51
610;2.22
611;1.47
612;1.51
613;2.35
614;0.27
615;2.53
616;-0.93
617;3.4
618;0.69
619;1.74
620;3.27
621;1.35
622;5.19
623;1.05
624;1.51
625;-0.03
626;-0.16
627;1.25
628;1.16
629;1.43
630;0.69
631;0.33
632;2.35
633;4.7
634;1.77
635;1.62
636;0.04
637;0.55
638;2.53
639;-1.34
640;2.4
641;7.35
642;7.03
643;-0.98
644;2.36
645;0.85
646;0
647;0.51
648;-1.19
649;2.29
650;1.89
651;-1.76
652;1.26
653;-0.64
654;3.23
655;1.55
656;-1.8
657;-0.82
658;-3.01
659;0.41
660;-2.34
661;1.21
662;-0.63
663;2.66
664;1.11
665;0.22
666;-0.6
667;-1.79
668;-0.71
669;-2.6
670;0.35
671;-2.64
672;0.56
673;1.72
674;0.4
675;0.67
676;-2.03
677;-2.02
678;1.59
679;2.94
680;1.39
681;0.28
682;-0.44
683;-1.15
684;5.07
685;2.08
686;2.64
687;1.08
688;-1.73
689;4.27
690;-1.7
691;4.29
692;-1.64
693;-2.71
694;-0.49
695;1.54
696;1.32
697;-0.29
698;-0.48
699;-1.57
700;-3.49
701;-1.44
702;2.97
703;1.42
704;-3.56
705;-1.39
706;3.27
707;-1.24
708;1.81
709;-1.73
710;1.34
711;-0.05
712;0.42
713;1.94
714;-0.76
715;0.89
716;-3.24
717;3.23
718;7.29
719;1.64
720;5.14
721;-4.02
722;-0.4
723;-5.21
724;-3.69
725;-2.36
726;-0.62
727;0.64
728;-2.38
729;-0.75
730;-1.74
731;-1.44
732;-0.89
733;-0.1
734;2.91
735;1.41
736;-1.72
737;0.38
738;-4.84
739;-2.68
740;-1.7
741;-1.68
742;0.4
743;-1.67
744;-2.3
745;-0.89
746;2.27
747;1.06
748;1.07
749;0.97
750;-0.48
751;-0.05
752;-2.36
753;-3.15
754;-1.92
755;0.58
756;0.18
757;-1.08
758;1.23
759;-1.67
760;-1.73
761;3.31
762;1.43
763;4.36
764;-4.95
765;1.05
766;-1.9
767;0.03
768;-4.33
769;-2.02
770;1.47
771;-0.58
772;-0.45
773;0.22
774;0.26
775;-1.71
776;-2.18
777;4.01
778;2.08
779;0.13
780;0.05
781;-2.82
782;-0.34
783;1.63
784;2.97
785;-1.66
786;-0.88
787;1.32
788;-3.19
789;2.01
790;-0.15
791;2.15
792;-0.33
793;-2.15
794;-3.86
795;0.36
796;-5.55
797;-3.22
798;-3.13
799;-1.76
800;-1.43
801;-3.13
802;1.35
803;1.3
804;-0.57
805;1.84
806;-0.66
807;2.6
808;0.01
809;-1.09
810;1.55
811;-2.9
812;-0.91
813;1.9
814;-2.77
815;-1.54
816;-0.72
817;0.48
818;2.33
819;2.2
820;3.92
821;-1.08
822;-0.5
823;1.1
824;-2.69
825;-1.04
826;4.68
827;-1.84
828;1
829;22.7
830;-2.7
831;0.26
832;2.58
833;4.3
834;-2.81
835;-1.57
836;-1.74
837;2.22
838;-3.18
839;3.71
840;-1.38
841;1.3
842;6.32
843;0.38
844;2.36
845;-1.68
846;1.31
847;-2.34
848;-2.1
849;0.93
850;-4.51
851;-1.59
852;-0.82
853;-0.16
854;-1.4
855;-2.5
856;-2.69
857;1.9
858;-0.28
859;-0.25
860;1.37
861;5.19
862;1.2
863;1.87
864;-0.56
865;0.32
866;-0.77
867;1.9
868;0.29
869;0.35
870;0.51
871;3.07
872;3.33
873;3.07
874;4.54
875;1.3
876;1.33
877;1.39
878;1.56
879;-4.55
880;1.61
881;1.31
882;3.18
883;1.32
884;3.47
885;-0.87
886;3.58
887;2.41
888;-1.58
889;0.04
890;0.19
891;-1.46
892;2.35
893;2.06
894;0.09
895;-0.53
896;-2.99
897;-0.12
898;1.26
899;0.62
900;2.73
901;-1.16
902;3.31
903;-2.02
904;-0.74
905;-1.03
906;1.86
907;0.75
908;1.31
909;2.92
910;0.68
911;1.28
912;-5.47
913;-0.33
914;3.31
915;-1.73
916;0.16
917;-1.67
918;0.69
919;1.18
920;2.18
921;4.51
922;-1.4
923;-0.7
924;0.95
925;0.01
926;2.46
927;-1.57
928;2.79
929;0.06
930;-1.14
931;0.37
932;0.42
933;-0.04
934;2.16
935;-0.14
936;-1.44
937;1.72
938;-1.58
939;1.35
940;0.23
941;-3.12
942;-1.73
943;-0.05
944;-0.69
945;0.41
946;-1.65
947;1.52
948;-1.11
949;-0.74
950;2.44
951;-1.62
952;-0.58
953;-2.58
954;-2.6
955;2.4
956;-1.53
957;-0.08
958;3.62
959;-1.48
960;2.18
961;-0.6
962;1.26
963;-1.69
964;2.13
965;-0.72
966;-2.25
967;-1.46
968;-3.18
969;-1
970;1.6
971;-1.26
972;-2.61
973;1.97
974;1.44
975;-2.02
976;-0.72
977;0.55
978;-1.69
979;2.52
980;0.38
981;-2.41
982;0.15
983;0.09
984;2.25
985;-1.42
986;-2.8
987;-2.32
988;-0.89
989;-0.15
990;0.33
991;-1.47
992;-0.68
993;-2.42
994;-1.83
995;0.42
996;1.92
997;0.36
998;0.4
999;3.62
1000;-2.69
